rank,latitude,longitude,distance_km
1,59.931608329431064,30.21826268125,2.213
2,59.93357247304408,30.21826268125,2.153
3,59.931608329431064,30.216268775,2.115
4,59.93357247304408,30.216268775,2.046
5,59.931608329431064,30.2202565875,2.005
6,59.935536616657096,30.21826268125,1.994
7,59.935536616657096,30.216268775,1.981
8,59.93357247304408,30.2202565875,1.938
9,59.931608329431064,30.21427486875,1.911
10,59.95517805278725,30.19433580625,1.901
